Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent
Balaenidae,Eubalaena,glacialis,11.6,34100,,21.9,,,,2.41,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,32.8,,,,2.82,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,15.6,,,,4.6,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,9.4,,,,6.37,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,12.5,,,,8.14,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,4.7,,,,9.91,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,3.1,,,,20.54,0.45
Balaenidae,Balaena,mysticetus,11.7,22600,,5,,,,1.89,0.45
Balaenidae,Balaena,mysticetus,11.7,22600,,25,,,,2.16,0.45
Balaenidae,Balaena,mysticetus,11.7,22600,,40,,,,2.42,0.45
Balaenidae,Balaena,mysticetus,11.7,22600,,25,,,,2.69,0.45
Balaenidae,Balaena,mysticetus,11.7,22600,,5,,,,2.95,0.45
Balaenidae,Eubalaena,glacialis,11.6,34100,,21.9,,,,1.46,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,32.8,,,,2.2,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,15.6,,,,3.58,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,9.4,,,,4.96,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,12.5,,,,6.34,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,4.7,,,,7.71,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,3.1,,,,15.99,0.61
Balaenidae,Balaena,mysticetus,11.7,22600,,5,,,,1.51,0.61
Balaenidae,Balaena,mysticetus,11.7,22600,,25,,,,1.73,0.61
Balaenidae,Balaena,mysticetus,11.7,22600,,40,,,,1.94,0.61
Balaenidae,Balaena,mysticetus,11.7,22600,,25,,,,2.15,0.61
Balaenidae,Balaena,mysticetus,11.7,22600,,5,,,,2.36,0.61
Balaenidae,Eubalaena,glacialis,11.6,34100,,21.9,,,,0.63,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,,32.8,,,,1.68,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,,15.6,,,,2.73,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,,9.4,,,,3.79,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,,12.5,,,,4.84,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,,4.7,,,,5.89,0.68
Balaenidae,Eubalaena,glacialis,11.6,34100,,3.1,,,,12.22,0.68
