ID,prh_start,prh_stop,prh_fps,lunge_quality,sonar_exp,total_lunges,deployment-time_secs,Index,TagOn,TagOff,dayhours,dayhourslunges,nighthours,nighthourslunges,twilightzone,twilightzonelunges,Prey,Prey notes,whaleLength,Study_Area,SpeciesCode,CommonName,med_TLm,slope,intercept,BestLengthEst,Engulfment_L,TotalLunges,TotalHours,LungesPerHour,LungesPerDayHour,LungesPerNightHour,LungesPerTwHour,PreyClean,Region,deployment-time_h
bp150619-3a,2235,8854,10,good,none,4,661.9,18,2236,8855,0.18406250048428774,4,0,0,0,0,SandLance,NA,NA,Stellwagen,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,4,0.18406250048428774,21.73174866947684,21.73174866947684,NA,NA,Fish-feeding,North Atlantic,0.18386111111111111
bw140819-3b,10573,20532,10,good,none,7,995.9,39,10574,20533,0.2768194433301687,10,0,0,0,0,Krill,NA,NA,San Diego,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,10,0.2768194433301687,36.12463011882,36.12463011882,NA,NA,Krill-feeding,Eastern North Pacific,0.2766388888888889
mn140716-4,2982,18384,10,ok,none,3,1540.2,100,2983,18385,0.4278333345428109,3,0,0,0,0,Fish,NA,NA,Monterey,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,3,0.4278333345428109,7.012076333897275,7.012076333897275,NA,NA,Fish-feeding,Eastern North Pacific,0.42783333333333334
bw10_244a,4859,14801,5,good,none,9,1988.4,262,4860,13666,0.48922222293913364,9,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,9,0.48922222293913364,18.39654778135402,18.39654778135402,NA,NA,Krill-feeding,Eastern North Pacific,0.5523333333333333
bw11_219a,0,11664,5,good,none,6,2332.8,283,224,10993,0.5982777792960405,5,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,5,0.5982777792960405,8.357321921404495,8.357321921404495,NA,NA,Krill-feeding,Eastern North Pacific,0.648
bw160728-36b,2982,25723,10,good,none,5,2274.1,52,2983,25724,0.6316944463178515,6,0,0,0,0,Krill,NA,NA,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,6,0.6316944463178515,9.498263020949471,9.498263020949471,NA,NA,Krill-feeding,Eastern North Pacific,0.6316944444444444
bp160614-3b,2996,25933,10,good,none,12,2293.7,21,2997,25934,0.6371388863772154,14,0,0,0,0,Krill,NA,NA,Azores,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,14,0.6371388863772154,21.973231110730477,21.973231110730477,NA,NA,Krill-feeding,North Atlantic,0.6371388888888888
bp15_235a,0,50640,20,good,none,15,2532,247,713,49617,0.6792222233489156,19,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,19,0.6792222233489156,27.973171882274713,27.973171882274713,NA,NA,Krill-feeding,Eastern North Pacific,0.7033333333333334
mn170810-41,2582,29101,10,good,none,4,2651.9,164,2583,29102,0.7366388887166977,6,0,0,0,0,Anchovies,NA,11.76,SoCal,mn,Humpback Whale,12.5,3.24603,0.85934,11.76,21068.372996084778,6,0.7366388887166977,8.145103512594387,8.145103512594387,NA,NA,Fish-feeding,Eastern North Pacific,0.736638888888889
bw10_265b,0,14297,5,good,none,13,2859.4,271,102,13563,0.7478333339095116,13,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,13,0.7478333339095116,17.38355247156315,17.38355247156315,NA,NA,Krill-feeding,Eastern North Pacific,0.7942777777777777
bw170816-23,1462,29424,10,good,none,17,2796.2,68,1463,29425,0.7767222225666046,21,0,0,0,0,Krill,NA,23.35,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,23.35,98532.41005219647,21,0.7767222225666046,27.03669264232907,27.03669264232907,NA,NA,Krill-feeding,Eastern North Pacific,0.7767222222222222
be180423-45,2765,31955,10,ok,none,5,2919,14,2766,31956,0.8108333330601454,7,0,0,0,0,Fish,NA,NA,South Africa,be,Bryde's Whale,13.208,3.1453,0.5787,13.208,12410.392744088105,7,0.8108333330601454,8.633093528088539,8.633093528088539,NA,NA,Fish-feeding,South Africa,0.8108333333333333
bw140722-2e,110308,140181,10,good,none,12,2987.3,36,110309,140182,0.8298124987632036,15,0,0,0,0,Krill,NA,NA,Cordell Bank,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,15,0.8298124987632036,18.076372701491955,18.076372701491955,NA,NA,Krill-feeding,Eastern North Pacific,0.8298055555555556
bw140820-3b,49993,86532,10,good,none,17,3653.9,41,49994,86533,1.0149722239002585,17,0,0,0,0,Krill,NA,NA,San Diego,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,17,1.0149722239002585,16.74922682580779,16.74922682580779,NA,NA,Krill-feeding,Eastern North Pacific,1.0149722222222222
bw160725-3,3391,40464,10,good,none,2,3707.3,49,3392,40465,1.0297777773812413,2,0,0,0,0,Krill,NA,NA,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,2,1.0297777773812413,1.9421665954824405,1.9421665954824405,NA,NA,Krill-feeding,Eastern North Pacific,1.0298055555555556
bw11_214a,6426,25787,5,good,none,24,3872.2,277,6425,25263,1.0465555535629392,23,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,23,1.0465555535629392,21.976855334337294,21.976855334337294,NA,NA,Krill-feeding,Eastern North Pacific,1.075611111111111
bw14_218b,0,104240,25,good,none,20,4169.6,307,366,97218,1.0761333340778947,16,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,16,1.0761333340778947,14.868046080655892,14.868046080655892,NA,NA,Krill-feeding,Eastern North Pacific,1.1582222222222223
bw11_215a,0,20243,5,good,none,20,4048.6,279,62,19773,1.0950555531308055,20,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,20,1.0950555531308055,18.263913591250454,18.263913591250454,NA,NA,Krill-feeding,Eastern North Pacific,1.124611111111111
bp160615-3c,6129,58454,10,good,none,2,5232.5,22,6130,58455,1.4534722231328487,2,0,0,0,0,Krill,NA,NA,Azores,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,2,1.4534722231328487,1.376015288196669,1.376015288196669,NA,NA,Krill-feeding,North Atlantic,1.453472222222222
mn151103-4,2336,55501,10,"partial (3,9,11,12)",none,40,5316.5,118,2337,55502,1.4768124986439943,66,0,0,0,0,Inverts,NA,NA,South Africa,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,66,1.4768124986439943,44.69084603536403,44.69084603536403,NA,NA,Krill-feeding,South Africa,1.4768055555555555
bw14_211a,0,152756,25,good,yes,6,6110.24,301,7597,147195,1.5510888872668147,7,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,7,1.5510888872668147,4.512958643095401,4.512958643095401,NA,NA,Krill-feeding,Eastern North Pacific,1.6972888888888888
bw10_244b,0,30495,5,good,yes,30,6099,263,28,29507,1.6377222212031484,36,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,36,1.6377222212031484,21.98174973381792,21.98174973381792,NA,NA,Krill-feeding,Eastern North Pacific,1.6941666666666668
mn161105-36,10967,71025,10,good,none,40,6005.8,137,10968,71026,1.6682777786627412,40,0,0,0,0,Krill,NA,NA,South Africa,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,40,1.6682777786627412,23.97682239228962,23.97682239228962,NA,NA,Krill-feeding,South Africa,1.6682777777777777
