taxa,group,sp_ix,sp,ID,ID_from_JAG,Grouping,Species,Data_source,Prey_wt_g,Prey_E_kJ,Body_length_m,Body_mass_kg,Number_of_dives,Depth_m_max,Depth_m_median,Duration_min_max,Duration_min_median,foragedur_min_max,foragedur_min_median,foraging_phase_of_dive_max,foraging_phase_of_dive_median,foraging_count_max,foraging_count_median,foraging_count_per_dive_min_max,foraging_count_per_dive_min_median,Surftime_min_max,Surftime_min_med,Surftime_min_post_max_duration,Surftime_min_post_max_depth,surf_by_dive_time_max,surf_by_dive_time_med,surf_by_dive_max_duration,surf_by_dive_max_depth,transit_time_min_max,transit_time_min_median,transit_time_of_dive_max,transit_time_of_dive_median,total_buzz_count,total_duration_h
M,0,1,1,ba-130213,ba-130213,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,169,104.88,34.04,9.37,2.61,7.13,1.93,0.90,0.75,24,8,5.90,3.45,52.16,1.12,8.03,2.33,83.20,0.37,0.86,0.62,5.37,0.59,1.00,0.25,,
M,0,2,1,ba-130215,ba-130215,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,53,104.95,37.45,7.39,3.01,6.47,2.03,0.89,0.71,20,9,5.42,3.00,89.41,1.51,1.59,2.18,54.06,0.46,0.21,0.51,3.17,0.84,0.82,0.29,,
M,0,5,1,bb180227-45,bb180227-45,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,211,70.07,20.95,10.47,1.35,5.86,0.76,0.77,0.43,9,2,3.16,1.55,35.72,0.87,2.11,1.20,17.82,0.51,0.20,0.34,4.61,0.91,0.92,0.57,,
M,0,6,1,bb180228-42,bb180228-42,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,113,103.52,24.15,5.55,1.49,2.76,0.77,0.80,0.54,8,3,4.35,2.29,93.70,0.99,0.98,1.28,135.80,0.52,0.18,0.31,4.28,0.66,0.91,0.46,,
M,0,7,1,bb180304-40,bb180304-40,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,158,175.66,71.32,11.12,3.81,4.80,1.80,0.78,0.54,10,4,4.47,1.35,122.49,1.58,3.16,4.65,117.40,0.39,0.28,0.68,9.26,1.63,0.95,0.46,,
M,0,8,1,bb180304-42,bb180304-42,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,12,187.30,148.66,7.48,5.46,3.92,2.28,0.66,0.42,9,5.5,1.53,1.03,10.02,4.96,2.29,8.81,1.93,0.83,0.31,1.62,6.55,2.88,0.88,0.58,,
M,0,9,1,bb180304-45,bb180304-45,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,96,237.97,183.00,14.63,6.24,6.38,3.57,0.86,0.58,23,9,3.22,1.44,11.31,3.35,1.53,10.43,1.81,0.56,0.10,1.35,11.03,2.59,0.96,0.42,,
M,0,10,1,bb180305-42b,bb180305-42b,Balaenopteridae,Balaenoptera_bonaerensis,,268,1227,7.8,6700,40,204.18,35.03,8.09,4.36,4.55,2.53,0.88,0.61,15,7,3.70,1.64,206.32,3.74,14.05,3.64,85.43,0.69,1.74,0.45,5.40,2.10,0.90,0.39,,
M,0,1,3,bw10_229b,bw10_229b,Balaenopteridae,Balaenoptera_musculus,,134000,393960,25.2,93000,44,200.89,153.68,9.69,8.02,5.68,4.12,0.63,0.54,4,3,0.49,0.41,4.22,2.78,3.28,3.74,0.55,0.36,0.34,0.40,5.77,3.84,0.74,0.46,,
M,0,2,3,bw10_230a,bw10_230a,Balaenopteridae,Balaenoptera_musculus,,134000,393960,25.2,93000,37,220.65,170.78,8.13,6.40,4.02,2.00,0.53,0.32,3,2,0.44,0.33,7.64,3.55,4.11,5.53,1.00,0.52,0.51,0.75,5.52,4.29,0.84,0.68,,
