whaleIDSp,whaleIDNumber,TL,LogTL,VGBm,LogVGBm,MW,LogMW,MR,LogMR,Species,Input,,MW,MR,VGB,Species
bw,1,13.35,1.125481266,6.65,0.822821645,10423.35587,4.018007566,0.86963,-0.060665487,Blue Whale,1,,89849.86338,1.279467444,12.49801636,Balaenoptera_musculus
bw,2,13.95,1.144574208,7.15,0.854306042,12915.17998,4.111100463,0.93013,-0.031456348,Blue Whale,1,,58065.34885,1.267933747,10.85867617,Balaenoptera_physalus
bw,3,15.83,1.199480915,8.98,0.953276337,23899.70309,4.378392506,1.1275,0.052116551,Blue Whale,1,,25676.87576,0.937011961,7.040196078,Megaptera_novaeangliae
bw,4,17.3,1.238046103,10.3,1.012837225,35459.10705,4.549727795,1.24284,0.094415222,Blue Whale,1,,2884.703851,0.471203939,3.528181818,Balaenoptera_acutorostrata
bw,5,16.9,1.227886705,9.72,0.987666265,31301.10603,4.495559684,1.18642,0.074238459,Blue Whale,1,,24823.09856,1.106429053,8.29295858,Balaenoptera_borealis
bw,6,16.35,1.213517757,8.95,0.951823035,26192.04918,4.418169478,1.10899,0.04492763,Blue Whale,1,,22033.36998,1.511296207,7.333593103,Balaenoptera_brydei
bw,7,16.2,1.209515015,8.8,0.944482672,25069.09552,4.399138665,1.09469,0.039291151,Blue Whale,1,,,,,
bw,8,17.25,1.236789099,9.8,0.991226076,33461.48806,4.52454525,1.18423,0.073436059,Blue Whale,1,,,,,
bw,9,18.5,1.267171728,11.05,1.043362278,45897.05514,4.661784821,1.28534,0.109018023,Blue Whale,1,,,,,
bw,10,18.35,1.263636069,10.8,1.033423755,43859.99887,4.642068616,1.26221,0.101131617,Blue Whale,1,,,,,
bw,11,18.8,1.274157849,11.25,1.051152522,48843.03188,4.688802614,1.29616,0.112658615,Blue Whale,1,,,,,
bw,12,16.95,1.229169703,9.35,0.970811611,30365.73836,4.482383846,1.13965,0.056771495,Blue Whale,1,,,bm,489,
bw,13,17.1,1.23299611,9.5,0.977723605,31640.13695,4.500238355,1.15298,0.061821774,Blue Whale,1,,,bp,491,
bw,14,17.2,1.235528447,9.6,0.982271233,32509.0336,4.512004059,1.16175,0.065112681,Blue Whale,1,,,mn,51,
bw,15,17.9,1.252853031,10.25,1.010723865,38846.23657,4.589348951,1.21476,0.084490483,Blue Whale,1,,,bb,330,
bw,16,16.9,1.227886705,9.2,0.963787827,29626.56124,4.471681246,1.12295,0.050360419,Blue Whale,1,,,,,
bw,17,17.7,1.247973266,10,1,36722.99745,4.564938122,1.19236,0.076407398,Blue Whale,1,,,,,
bw,18,19,1.278753601,11.3,1.053078443,50502.38324,4.703311873,1.29357,0.111789935,Blue Whale,1,,,,,
bw,19,17.5,1.243038049,9.8,0.991226076,34854.20405,4.542255169,1.17554,0.070237411,Blue Whale,1,,,,,
bw,20,16.82,1.225825991,9.12,0.959994838,28971.37141,4.461969054,1.11569,0.04754354,Blue Whale,1,,,,,
bw,21,17.6,1.245512668,9.9,0.995635195,35780.55044,4.553647017,1.18399,0.073348034,Blue Whale,1,,,,,
bw,22,18.39,1.264581729,10.59,1.02489596,43267.23181,4.63615911,1.23611,0.09205712,Blue Whale,1,,,,,
bw,23,18.25,1.261262869,10.45,1.01911629,41800.38334,4.621180265,1.22513,0.088182175,Blue Whale,1,,,,,
bw,24,16.75,1.224014811,8.95,0.951823035,28092.09597,4.448584143,1.09703,0.040218504,Blue Whale,1,,,,,
bw,25,17.3,1.238046103,9.5,0.977723605,32705.00161,4.514614175,1.1463,0.059298292,Blue Whale,1,,,,,
bw,26,17.7,1.247973266,9.9,0.995635195,36355.76751,4.560573318,1.18044,0.072043917,Blue Whale,1,,,,,
bw,27,17.65,1.24674471,9.85,0.99343623,35885.43368,4.554918199,1.17625,0.070499636,Blue Whale,1,,,,,
bw,28,17.1,1.23299611,9.3,0.968482949,30974.02885,4.490997699,1.12871,0.052582373,Blue Whale,1,,,,,
bw,29,18.35,1.263636069,10.5,1.021189299,42641.66561,4.62983416,1.22715,0.088897652,Blue Whale,1,,,,,
bw,30,18.1,1.257678575,10.25,1.010723865,40070.14449,4.602820908,1.2073,0.081815201,Blue Whale,1,,,,,
bw,31,17.85,1.25163822,10,1,37603.11047,4.575223771,1.18694,0.074428766,Blue Whale,1,,,,,
bw,32,17.6,1.245512668,9.7,0.986771734,35057.71098,4.544783556,1.16008,0.06448794,Blue Whale,1,,,,,
bw,33,18.05,1.256477206,10.15,1.006466042,39374.48425,4.595214878,1.19738,0.078232,Blue Whale,1,,,,,
bw,34,18.97,1.278067331,11.07,1.044147621,49261.23094,4.69250526,1.26847,0.1032802,Blue Whale,1,,,,,
bw,35,16.8,1.225309282,8.9,0.949390007,28175.91343,4.449878004,1.08938,0.037179398,Blue Whale,1,,,,,
bw,36,17.8,1.250420002,9.9,0.995635195,36935.51064,4.567444108,1.17687,0.070728492,Blue Whale,1,,,,,
bw,37,17.85,1.25163822,9.95,0.997823081,37415.09494,4.573046852,1.18101,0.072253575,Blue Whale,1,,,,,
bw,38,17.5,1.243038049,9.6,0.982271233,34142.89374,4.533300326,1.15155,0.0612828,Blue Whale,1,,,,,
bw,39,17.65,1.24674471,9.75,0.989004616,35521.11462,4.550486585,1.16431,0.066068628,Blue Whale,1,,,,,
bw,40,17.65,1.24674471,9.75,0.989004616,35521.11462,4.550486585,1.16431,0.066068628,Blue Whale,1,,,,,
bw,41,18.1,1.257678575,10.15,1.006466042,39679.21626,4.598563085,1.19553,0.077560479,Blue Whale,1,,,,,
bw,42,18,1.255272505,10,1,38493.50981,4.585387512,1.1815,0.072433726,Blue Whale,1,,,,,
bw,43,17.8,1.250420002,9.8,0.991226076,36562.42467,4.563034989,1.16498,0.06631847,Blue Whale,1,,,,,
bw,44,18.3,1.26245109,10.3,1.012837225,41514.32207,4.61819795,1.20566,0.081224853,Blue Whale,1,,,,,
bw,45,18.17,1.259354927,10.17,1.007320953,40186.81988,4.60408364,1.19528,0.077469653,Blue Whale,1,,,,,
bw,46,18.65,1.270678836,10.65,1.027349608,45231.36943,4.655439737,1.23292,0.090934898,Blue Whale,1,,,,,
bw,47,17.9,1.252853031,9.9,0.995635195,37519.77978,4.574260281,1.17328,0.069401668,Blue Whale,1,,,,,
bw,48,18.95,1.277609214,10.95,1.039414119,48586.87308,4.68651895,1.25553,0.098827094,Blue Whale,1,,,,,
bw,49,18.4,1.264817823,10.4,1.017033339,42554.92377,4.628949817,1.21355,0.084057675,Blue Whale,1,,,,,
bw,50,18.07,1.256958153,10.07,1.003029471,39184.93765,4.59311916,1.1872,0.074523888,Blue Whale,1,,,,,
bw,51,17.6,1.245512668,9.6,0.982271233,34696.2913,4.540283055,1.14812,0.059987282,Blue Whale,1,,,,,
bw,52,17.8,1.250420002,9.8,0.991226076,36562.42467,4.563034989,1.16498,0.06631847,Blue Whale,1,,,,,
bw,53,18.55,1.268343914,10.55,1.02325246,44147.85848,4.644909642,1.22523,0.088217622,Blue Whale,1,,,,,
bw,54,17.9,1.252853031,9.86,0.993876915,37368.18468,4.572502001,1.16854,0.067643583,Blue Whale,1,,,,,
bw,55,18.15,1.258876629,10.07,1.003029471,39669.9546,4.598461703,1.18426,0.073447061,Blue Whale,1,,,,,
bw,56,18.3,1.26245109,10.2,1.008600172,41111.27039,4.613960897,1.19395,0.07698614,Blue Whale,1,,,,,
bw,57,18.6,1.269512944,10.5,1.021189299,44265.86729,4.646068978,1.21749,0.085465403,Blue Whale,1,,,,,
bw,58,19.3,1.285557309,11.2,1.049218023,52238.12292,4.717987563,1.2697,0.10370112,Blue Whale,1,,,,,
bw,59,18.23,1.260786669,10.13,1.005609445,40397.19081,4.606351166,1.18836,0.074948025,Blue Whale,1,,,,,
bw,60,18.2,1.260071388,10.1,1.004321374,40093.67672,4.603075884,1.18595,0.074066379,Blue Whale,1,,,,,
bw,61,18.4,1.264817823,10.3,1.012837225,42145.74187,4.624753703,1.20188,0.079861108,Blue Whale,1,,,,,
bw,62,17.25,1.236789099,9.15,0.961421094,31242.10362,4.494740268,1.10569,0.043633382,Blue Whale,1,,,,,
bw,63,17.45,1.241795431,9.35,0.970811611,32985.8656,4.518327885,1.12323,0.050468694,Blue Whale,1,,,,,
bw,64,18.6,1.269512944,10.5,1.021189299,44265.86729,4.646068978,1.21749,0.085465403,Blue Whale,1,,,,,
bw,65,18.05,1.256477206,9.95,0.997823081,38598.63239,4.586571917,1.17378,0.069586705,Blue Whale,1,,,,,
bw,66,17.8,1.250420002,9.7,0.986771734,36189.33866,4.558580647,1.15309,0.061863206,Blue Whale,1,,,,,
bw,67,17.55,1.244277121,9.45,0.975431809,33881.24639,4.529959378,1.13187,0.053796549,Blue Whale,1,,,,,
bw,68,18.8,1.274157849,10.65,1.027349608,46238.07025,4.6649997,1.22703,0.088855181,Blue Whale,1,,,,,
bw,69,18.17,1.259354927,10.02,1.000867722,39594.09396,4.597630409,1.17765,0.071016236,Blue Whale,1,,,,,
bw,70,18.1,1.257678575,9.95,0.997823081,38897.35983,4.589920124,1.17197,0.068916495,Blue Whale,1,,,,,
bw,71,17.03,1.231214648,8.85,0.946943271,29131.90707,4.464368916,1.07625,0.031913164,Blue Whale,1,,,,,
bw,72,18.05,1.256477206,9.85,0.99343623,38210.70637,4.582185066,1.16198,0.065198653,Blue Whale,1,,,,,
bw,73,17.75,1.249198357,9.55,0.980003372,35349.54043,4.548383772,1.13698,0.055752825,Blue Whale,1,,,,,
bw,74,18.8,1.274157849,10.6,1.025305865,46020.99006,4.662955958,1.22127,0.086811689,Blue Whale,1,,,,,
bw,75,18.35,1.263636069,10.15,1.006466042,41220.27674,4.615110903,1.18624,0.074172564,Blue Whale,1,,,,,
bw,76,18,1.255272505,9.8,0.991226076,37723.63964,4.576613588,1.15787,0.063659802,Blue Whale,1,,,,,
bw,77,17.9,1.252853031,9.7,0.986771734,36761.80438,4.56539682,1.14958,0.060539199,Blue Whale,1,,,,,
bw,78,17.6,1.245512668,9.4,0.973127854,33973.45193,4.531139676,1.1242,0.050843581,Blue Whale,1,,,,,
bw,79,18.05,1.256477206,9.85,0.99343623,38210.70637,4.582185066,1.16198,0.065198653,Blue Whale,1,,,,,
bw,80,18.2,1.260071388,10,1,39696.70961,4.59875451,1.1742,0.069742076,Blue Whale,1,,,,,
bw,81,19.1,1.281033367,10.9,1.037426498,49417.77152,4.693883157,1.24375,0.094733094,Blue Whale,1,,,,,
bw,82,17.85,1.25163822,9.65,0.984527313,36287.00157,4.559751084,1.1454,0.058957179,Blue Whale,1,,,,,
bw,83,19.1,1.281033367,10.85,1.035429738,49191.08446,4.691886397,1.23805,0.092738184,Blue Whale,1,,,,,
bw,84,18.7,1.271841607,10.45,1.01911629,44710.02503,4.650404913,1.20784,0.082009408,Blue Whale,1,,,,,
bw,85,18.4,1.264817823,10.1,1.004321374,41327.37794,4.616237852,1.17854,0.071344327,Blue Whale,1,,,,,
bw,86,24.1,1.382017043,15.8,1.198657087,131800.0971,5.11991573,1.52361,0.182873814,Blue Whale,1,,,,,
bw,87,19,1.278753601,10.7,1.029383778,47820.84086,4.679617208,1.22489,0.088097089,Blue Whale,1,,,,,
bw,88,18.25,1.261262869,9.95,0.997823081,39800.36507,4.599887056,1.16651,0.066888466,Blue Whale,1,,,,,
bw,89,18.8,1.274157849,10.5,1.021189299,45586.8298,4.658839392,1.20975,0.082695631,Blue Whale,1,,,,,
bw,90,18.25,1.261262869,9.95,0.997823081,39800.36507,4.599887056,1.16651,0.066888466,Blue Whale,1,,,,,
bw,91,18.1,1.257678575,9.8,0.991226076,38310.96747,4.583323119,1.1543,0.062318696,Blue Whale,1,,,,,
bw,92,17.75,1.249198357,9.45,0.975431809,34979.38818,4.543812209,1.12508,0.051183405,Blue Whale,1,,,,,
bw,93,18.55,1.268343914,10.25,1.010723865,42892.46907,4.632381047,1.19039,0.07568927,Blue Whale,1,,,,,
bw,94,20.8,1.318063335,12.5,1.096910013,71252.98296,4.852803051,1.34819,0.129751101,Blue Whale,1,,,,,
bw,95,18.7,1.271841607,10.4,1.017033339,44496.10148,4.648321962,1.20207,0.079929759,Blue Whale,1,,,,,
bw,96,18,1.255272505,9.7,0.986771734,37338.70449,4.572159246,1.14606,0.059207355,Blue Whale,1,,,,,
bw,97,18.6,1.269512944,10.3,1.012837225,43422.70795,4.637716904,1.1943,0.077113432,Blue Whale,1,,,,,
bw,98,18.3,1.26245109,10,1,40305.16703,4.605360725,1.17054,0.068386259,Blue Whale,1,,,,,
bw,99,18.2,1.260071388,9.9,0.995635195,39299.74255,4.594389705,1.16246,0.065378018,Blue Whale,1,,,,,
bw,100,17.5,1.243038049,9.2,0.963787827,32720.27314,4.51481692,1.10357,0.042799886,Blue Whale,1,,,,,
bw,101,18.9,1.276461804,10.55,1.02325246,46474.77105,4.667217259,1.21161,0.083362849,Blue Whale,1,,,,,
bw,102,18.45,1.26599637,10.1,1.004321374,41638.68897,4.619497047,1.17669,0.070662063,Blue Whale,1,,,,,
bw,103,18,1.255272505,9.65,0.984527313,37146.23693,4.569914824,1.14015,0.056961992,Blue Whale,1,,,,,
bw,104,19.2,1.283301229,10.8,1.033423755,49665.96793,4.696058904,1.22835,0.08932213,Blue Whale,1,,,,,
bw,105,18.5,1.267171728,10.1,1.004321374,41951.15449,4.622743917,1.17483,0.069975028,Blue Whale,1,,,,,
bw,106,19.03,1.279438788,10.63,1.026533265,47713.18413,4.6786384,1.21569,0.084822844,Blue Whale,1,,,,,
bw,107,18.8,1.274157849,10.4,1.017033339,45152.66949,4.654683432,1.19823,0.078540189,Blue Whale,1,,,,,
bw,108,18.35,1.263636069,9.95,0.997823081,40408.05458,4.606467942,1.16287,0.065531167,Blue Whale,1,,,,,
bw,109,20.1,1.303196057,11.7,1.068185862,60885.80669,4.784516064,1.29184,0.111208728,Blue Whale,1,,,,,
bw,110,19.2,1.283301229,10.77,1.032215703,49528.00693,4.694850852,1.22494,0.088114817,Blue Whale,1,,,,,
bw,111,18.85,1.275311355,10.4,1.017033339,45482.73675,4.657846589,1.19631,0.077843733,Blue Whale,1,,,,,
bw,112,18.8,1.274157849,10.35,1.01494035,44935.5894,4.652590443,1.19247,0.076447462,Blue Whale,1,,,,,
bw,113,18.75,1.273001272,10.3,1.012837225,44392.79319,4.647312472,1.18861,0.07503938,Blue Whale,1,,,,,
bw,114,19.3,1.285557309,10.8,1.033423755,50372.47558,4.702193295,1.22435,0.087905586,Blue Whale,1,,,,,
bw,115,18.8,1.274157849,10.3,1.012837225,44718.50927,4.650487318,1.18671,0.074344602,Blue Whale,1,,,,,
bw,116,17,1.230448921,8.5,0.929418926,27839.03831,4.444654229,1.03457,0.014759881,Blue Whale,1,,,,,
bw,117,18.95,1.277609214,10.45,1.01911629,46368.29437,4.666221121,1.1982,0.078529315,Blue Whale,1,,,,,
bw,118,19,1.278753601,10.5,1.021189299,46926.99332,4.671422729,1.20199,0.079900855,Blue Whale,1,,,,,
bw,119,18.7,1.271841607,10.2,1.008600172,43640.40727,4.639888795,1.17895,0.071495387,Blue Whale,1,,,,,
bw,120,19.1,1.281033367,10.6,1.025305865,48057.64933,4.681762524,1.20952,0.082613054,Blue Whale,1,,,,,
