ID,species,lunge_depth
bp160728-25,bp,70.8796096210293
bp160728-25,bp,71.02974867291158
bp160728-25,bp,69.48327629854644
bp160728-25,bp,74.3025974108134
bp160728-25,bp,84.58461943593588
bp160728-25,bp,73.35479671368886
bp160728-25,bp,58.414212417603686
bp160728-25,bp,83.08063152221001
bp160728-25,bp,80.23871941866386
bp160728-25,bp,81.12557426432716
bp160728-25,bp,85.52488015520595
bp160728-25,bp,78.53836544108557
bp160728-25,bp,58.140337797342646
bp160728-25,bp,83.54116839794442
bp160728-25,bp,77.08504741865838
bp160728-25,bp,73.61549544211255
bp160728-25,bp,72.94453350583277
bp160728-25,bp,72.99093850456802
bp160728-25,bp,70.58489749512188
bp160728-25,bp,54.41047576748963
bp160728-25,bp,70.76209426564057
bp160728-25,bp,69.50388515939166
bp160728-25,bp,79.52673479692572
bp160728-25,bp,84.72823489739342
bp160728-25,bp,58.94645746913561
bp160728-25,bp,91.55931840716308
bp160728-25,bp,92.10378580531234
bp160728-25,bp,89.08325862425086
bp160728-25,bp,65.38554889984836
bp160728-25,bp,86.48800307227408
bp160728-25,bp,79.39719425051919
bp160728-25,bp,77.79204632218277
bp160728-25,bp,77.23496980087849
bp160728-25,bp,84.47392692599098
bp160728-25,bp,88.55791871372075
bp160728-25,bp,93.50052816804298
bp160728-25,bp,94.06112122603466
bp160728-25,bp,90.43444788527243
bp160728-25,bp,87.81401980333
bp160728-25,bp,107.39390230561546
bp160728-25,bp,115.31702830172124
bp160728-25,bp,109.41504585034708
bp160728-25,bp,97.3996250681722
bp160728-25,bp,84.40882350151678
bp160728-25,bp,86.78807552874102
bp160728-25,bp,56.06597336591207
bp160728-25,bp,74.35270974756249
bp160728-25,bp,78.76188866758092
bp160728-25,bp,73.068973219376
bp160728-25,bp,70.87560238820508
bp160728-25,bp,72.22517917506745
bp160728-25,bp,83.34686057017143
bp160728-25,bp,68.77537351057659
bp160728-25,bp,81.81863898871687
bp160728-25,bp,86.18543638171248
bp160728-25,bp,85.48438886758582
bp160728-25,bp,69.88557600990931
bp160728-25,bp,93.36537770553169
bp160728-25,bp,92.99907668480482
bp160728-25,bp,96.9086849036842
bp160728-25,bp,100.77486428792413
bp160728-25,bp,99.07620741150231
bp160728-25,bp,92.44184087371485
bp160728-25,bp,89.5975352534444
bp160728-25,bp,81.96278446280517
bp160728-25,bp,94.08030965532531
bp160728-25,bp,98.687977231613
bp160728-25,bp,100.90413131372061
bp160728-25,bp,100.54754032366955
bp160728-25,bp,104.04324360124346
bp160728-25,bp,73.99538794863015
bp160728-25,bp,90.80505473716178
bp160728-25,bp,79.25582686086761
bp160728-25,bp,84.1320502516852
bp160728-25,bp,82.78057839365047
bp160728-25,bp,84.70754134305206
bp160728-25,bp,61.57322609376492
bp160728-25,bp,92.08719114000682
bp160728-25,bp,82.57636383308963
bp160728-25,bp,86.6642614435588
bp160728-25,bp,79.24173165881209
bp160728-25,bp,73.01008079818266
bp160728-25,bp,90.57866289870204
bp160728-25,bp,18.180069656041507
bp160728-25,bp,83.42748928358769
bp160728-25,bp,92.90755876473698
bp160728-25,bp,94.06358687387282
bp160728-25,bp,89.5832982058343
bp160728-25,bp,90.43681426898641
bp160728-25,bp,93.74854732052569
bp160728-25,bp,106.2312215501668
bp160728-25,bp,113.24563886611705
bp160728-25,bp,113.25417573480044
bp160728-25,bp,115.92480791211236
bp160728-25,bp,112.69189511072976
bp160728-25,bp,111.13509555413084
bp160728-25,bp,114.34881401873226
bp160728-25,bp,113.85061830488921
bp160728-25,bp,117.23523460343614
bp160728-25,bp,115.20541866057162
bp160728-25,bp,113.92566778520059
bp160728-25,bp,128.29369606798917
bp160728-25,bp,124.36273487486336
bp160728-25,bp,137.85606823972216
bp160728-25,bp,141.7046392120594
bp160728-25,bp,143.52109146930763
bp160728-25,bp,116.83911583463352
bp160728-25,bp,139.4566640797982
bp160728-25,bp,133.08752765348788
bp160728-25,bp,127.98738406898671
bp160728-25,bp,133.55891167489997
bp160728-25,bp,119.08924606793414
bp160728-25,bp,123.01705247648903
bp160728-25,bp,131.56071683632788
bp160728-25,bp,136.3955665612759
bp160728-25,bp,126.18590227187595
bp160728-25,bp,117.20998874609039
bp160728-25,bp,118.72919950480919
bp160728-25,bp,85.4812719399632
bp160728-25,bp,121.56321587190052
bp160728-25,bp,119.78979966536141
bp160728-25,bp,119.68786725923435
bp160728-25,bp,117.17068662042428
bp160728-25,bp,109.45317598682735
bp160728-25,bp,116.95319908597234
bp160728-25,bp,118.36067104557507
bp160728-25,bp,120.79396024138373
bp160728-25,bp,119.22228589792532
bp160728-25,bp,124.98123579213305
bp160728-25,bp,107.38635872339658
bp160728-25,bp,127.5304933811713
bp160728-25,bp,130.75482323001802
bp160728-25,bp,121.98977997883406
bp160728-25,bp,116.5894031446548
bp160728-25,bp,118.45027198890885
bp160728-25,bp,93.84091902409308
bp160728-25,bp,103.42467416570341
bp160728-25,bp,110.36208577203212
bp160728-25,bp,112.56861527009991
bp160728-25,bp,108.77923182898499
bp160728-25,bp,112.29831879602015
bp180828-44,bp,216.30204346265774
bp180828-44,bp,206.65332107793574
bp180828-44,bp,208.12344266105185
bp180828-44,bp,202.44694543990914
bp180828-44,bp,218.3863218497306
bp180828-44,bp,221.2675833824837
bp180828-44,bp,158.19325714627803
bp180828-44,bp,27.595180777716667
bp180828-44,bp,13.40520588256345
bp180828-44,bp,30.78373974502858
bp180828-44,bp,11.327034124173082
bp180828-44,bp,-0.6016523434269602
bp180828-44,bp,0.40017121767733366
bp180828-44,bp,-0.5928478512310322
bp180828-44,bp,25.84382964121353
bp180828-44,bp,85.43596521786937
bp180828-44,bp,148.75951556325
bp180828-44,bp,11.174991098173125
bp180828-44,bp,5.506436678649949
bp180828-44,bp,0.3023506690028282
bp180828-44,bp,0.320687767616421
bp180828-44,bp,0.26023958000239966
bp180828-44,bp,0.7029294817366042
bp180828-44,bp,-0.4551365422633171
bp180828-44,bp,16.464248314719065
bp180828-44,bp,7.605201705678202
bp180828-44,bp,229.1945551210478
bp180828-44,bp,222.5371949317643
bp180828-44,bp,222.5228634942581
bp180828-44,bp,232.28093925539025
bp180828-44,bp,236.61401003587827
bp180828-44,bp,241.11756218764836
bp180828-44,bp,234.38012127616113
bp180828-44,bp,209.89101862173962
bp180828-44,bp,9.65306915993082
bp180828-44,bp,9.16791307051475
bp180828-44,bp,8.875053913939746
bp180828-44,bp,7.787493433663841
bp180828-44,bp,2.5749508571864372
bp180828-44,bp,0.9003873107129408
bp180828-44,bp,9.879833269760947
bp180828-44,bp,11.089701189913425
bp180828-44,bp,210.95023522019991
bp180828-44,bp,191.87500716629955
bp180828-44,bp,54.697188614807224
bp180828-44,bp,12.432207620860366
bp180828-44,bp,6.771907949956335
bp180828-44,bp,-0.12148813272252626
bp180828-44,bp,1.0296999762003631
bp180828-44,bp,236.2742522743759
bp180828-44,bp,242.7098402540772
bp180828-44,bp,242.1780667755205
bp180828-44,bp,115.08950966742533
bp180828-44,bp,85.7704465932003
bp180828-44,bp,207.18934443497574
bp180828-44,bp,226.49726705862386
bp180828-44,bp,237.87542603693169
bp180828-44,bp,226.4729519852029
bp180828-44,bp,215.2816645175401
bp180828-44,bp,208.59119157674596
bp180828-44,bp,6.674962652269782
bp180828-44,bp,0.8890017072289528
bp180828-44,bp,0.9063167118984898
bp180828-44,bp,1.8786125795927857
bp180828-44,bp,227.20117720239125
bp180828-44,bp,217.38978788766445
bp180828-44,bp,207.3400468706694
bp180828-44,bp,110.03438453017915
bp180828-44,bp,7.336756997196199
bp180828-44,bp,177.74409444628017
bp180828-44,bp,0.8404905616896865
bp180828-44,bp,154.8114359075606
bp180828-44,bp,15.712379025488953
bp180828-44,bp,1.1740683632909445
bp180828-44,bp,1.6990650106986287
bp180828-44,bp,0.7137010686319322
bp180828-44,bp,0.3230899408457405
bp180828-44,bp,191.5026199580856
bp180828-44,bp,194.52352939247027
bp180828-44,bp,83.10022364298496
bp180828-44,bp,9.03599952924861
bp180828-44,bp,1.0380517775143037
bp180828-44,bp,0.2303775524198569
bp180828-44,bp,0.4055192792559334
bp180828-44,bp,169.89289122694868
bp180828-44,bp,184.58462082211543
bp180828-44,bp,168.21296567930102
bp180828-44,bp,101.51944920574513
bp180828-44,bp,14.169066758595982
bp180828-44,bp,1.1384240234735532
bp180828-44,bp,1.3628071325670705
bp180828-44,bp,176.1477730983139
bp180828-44,bp,144.95819321863516
bp180828-44,bp,7.480410964876945
bp180828-44,bp,-0.5061444866144396
bp180828-44,bp,0.7882040375796511
bp180828-44,bp,161.70383059007347
bp180828-44,bp,142.96531985393332
bp180828-44,bp,126.16249450801072
bp180828-44,bp,110.87798117063643
bp180828-44,bp,103.55152059482354
bp180828-44,bp,87.36880546538822
bp180828-44,bp,62.01338320818475
bp180828-44,bp,-0.9930080116457292
bp180828-44,bp,-0.9129699168668601
bp180828-44,bp,-0.8492259900580592
bp180830-53,bp,190.46415111738983
bp180830-53,bp,197.80716600375632
bp180830-53,bp,190.32945252025297
bp180830-53,bp,185.44810700674373
bp180830-53,bp,182.38789287882858
bp180830-53,bp,185.75739908406416
bp180830-53,bp,186.68323933345408
bp180830-53,bp,186.90817696883389
bp180830-53,bp,187.27247655228456
bp180830-53,bp,139.851282761433
bw160725-3,bw,43.84077990489231
bw160725-3,bw,61.32923667110934
bw160727-10,bw,65.34583689122799
bw160727-10,bw,78.25250832203649
bw160727-10,bw,44.856597447894025
bw160727-10,bw,73.86989079860884
bw160727-10,bw,46.376648046582716
bw160727-10,bw,74.21187857080453
bw160727-10,bw,85.94563913891137
bw160727-10,bw,36.74377823402192
bw160727-10,bw,77.33501824494955
bw160727-10,bw,116.10960080231237
bw160727-10,bw,123.04115548613741
bw160727-10,bw,83.2932298434768
