ID,species,prh_start,prh_stop,prh_fps,lunge_quality,sonar_exp,total_lunges,deployment-time_secs
ba-130213,ba,34060,706260,10,ok,none,2016,67220
ba-130215,ba,122965,370862,10,ok,none,608,24789.7
bb180227-45,ba,4766,1074180,10,good,none,1911,106941.4
bb180228-42,ba,2953,648714,10,good,none,1380,64576.1
bb180304-40,ba,2237,1106105,10,good dives,none,1079,110386.8
bb180304-42,ba,2942,110015,10,good,none,66,10707.3
bb180304-45,ba,2963,1003584,10,good,none,908,100062.1
bb180305-42b,ba,2962,603877,10,good dives,none,799,60091.5
be180414-42,be,9638,269909,10,good,none,35,26027.1
be180418-42,be,2967,509445,10,good,none,38,50647.8
be180423-41,be,2822,117977,10,good,none,4,11515.5
be180423-42,be,17733,188384,10,good,none,40,17065.1
be180423-45,be,2765,31955,10,ok,none,5,2919
be180424-41,be,2937,93009,10,good,none,14,9007.2
be180427-42,be,1944,728943,10,good,none,25,72699.9
bp10_236a,bp,0,68055,5,partial (37-40),yes,8,13611
bp10_236b,bp,0,83042,5,partial (41-50),yes,10,16608.4
bp10_239a,bp,0,103754,5,good,yes,64,20750.8
bp10_244a,bp,0,52943,5,good,none,52,10588.6
bp10_245a,bp,0,66297,5,partial (0-16),yes,15,13259.4
bp12_217a,bp,15063,362702,5,good,yes,240,69527.8
bp13_193a,bp,0,138707,10,good,yes,42,13870.7
bp13_216a,bp,0,421572,25,good,yes,71,16862.88
bp13_258a,bp,0,212894,10,good dives,none,0,21289.4
bp13_258b,bp,0,495851,25,good,none,52,19834.04
bp13_265a,bp,0,337020,25,good,none,103,13480.8
bp15_075a,bp,0,285804,25,good,yes,80,11432.16
bp15_229a,bp,0,506809,25,good,yes,120,20272.36
bp15_235a,bp,0,50640,20,good,none,15,2532
bp15_236a,bp,0,302377,20,"partial (0-21, 32, 33)",yes,51,15118.85
bp150619-3a,bp,2235,8854,10,good,none,4,661.9
bp16_256a,bp,0,342000,25,good,yes,86,13680
bp160609-36,bp,5989,286483,10,good,none,6,28049.4
bp160614-3b,bp,2996,25933,10,good,none,12,2293.7
bp160615-3c,bp,6129,58454,10,good,none,2,5232.5
bp160728-25,bp,2989,132194,10,good,none,141,12920.5
bp160912,bp,3000,2776935,10,good,yes,919,277393.5
bp160914,bp,533,3670428,10,good,none,965,366989.5
bp170907-41b,bp,2976,1035770,10,good,none,532,103279.4
bw10_229b,bw,0,158515,5,good,none,138,31703
bw10_230a,bw,0,118341,5,good,none,83,23668.2
bw10_235a,bw,0,94805,5,good,yes,14,18961
bw10_239b,bw,0,140922,5,good,yes,63,28184.4
bw10_240b,bw,0,618608,5,good,yes,165,123721.6
bw10_241a,bw,0,153288,5,good,none,120,30657.6
bw10_243a,bw,0,90624,5,good,yes,65,18124.8
bw10_243b,bw,0,152903,5,good,yes,130,30580.6
bw10_244a,bw,4859,14801,5,good,none,9,1988.4
bw10_244b,bw,0,30495,5,good,yes,30,6099
bw10_244c,bw,35692,84070,5,good,yes,24,9675.6
bw10_245a,bw,0,98240,5,good,yes,38,19648
bw10_246a,bw,0,82888,5,good,yes,60,16577.6
bw10_246b,bw,0,80902,5,good,yes,66,16180.4
bw10_265a,bw,0,97487,5,good,yes,45,19497.4
bw10_265b,bw,0,14297,5,good,none,13,2859.4
bw10_266a,bw,0,44037,5,good,yes,15,8807.4
bw11_210a,bw,0,64250,5,good,yes,73,12850
bw11_211a,bw,0,77902,5,good,yes,83,15580.4
bw11_213b,bw,0,105635,5,good,yes,93,21127
bw11_214a,bw,6426,25787,5,good,none,24,3872.2
bw11_214b,bw,0,100907,5,partial (0-10),yes,24,20181.4
bw11_215a,bw,0,20243,5,good,none,20,4048.6
bw11_215b,bw,0,51824,5,good,none,14,10364.8
bw11_218a,bw,0,49491,5,good,yes,8,9898.2
bw11_218b,bw,0,91502,5,good,yes,55,18300.4
bw11_219a,bw,0,11664,5,good,none,6,2332.8
bw11_219b,bw,0,42215,5,good,yes,25,8443
bw11_220a,bw,0,99365,5,good,yes,76,19873
bw11_220b,bw,0,47863,5,good,yes,23,9572.6
bw11_221a,bw,0,89765,5,good,yes,65,17953
bw11_264a,bw,0,32878,5,good,none,29,6575.6
bw12_217b,bw,0,166942,20,good,none,16,8347.1
bw13_191a,bw,0,178371,10,good,yes,62,17837.1
bw13_193a,bw,0,456980,25,good,yes,82,18279.2
bw13_207a,bw,23885,327760,25,good,none,72,12155
bw13_211a,bw,0,132554,5,good,none,93,26510.8
bw13_214b,bw,0,326218,25,good,none,17,13048.72
bw13_214c,bw,0,174548,25,good,none,40,6981.92
bw13_217a,bw,0,402337,25,good,yes,130,16093.48
bw13_259a,bw,0,481063,25,good_dives,yes,27,19242.52
bw14_211a,bw,0,152756,25,good,yes,6,6110.24
bw14_211b,bw,0,382707,25,good,yes,60,15308.28
bw14_212a,bw,0,2380878,25,good,none,143,95235.12
bw14_213a,bw,0,357966,25,good,none,56,14318.64
bw14_217a,bw,64733,561236,25,good,none,63,19860.12
bw14_218a,bw,0,596768,25,good,yes,44,23870.72
bw14_218b,bw,0,104240,25,good,none,20,4169.6
bw14_251a,bw,0,766849,25,good,none,103,30673.96
